epoch,phase
53491,49201479.91611071
53492,49200281.50506059
53493,49199082.9333409
53494,49197884.203754395
53495,49196685.3129037
53496,49195486.261916235
53497,49194287.05008356
53498,49193087.678082354
53499,49191888.14712516
53500,49190688.45610324
53501,49189488.610032834
53502,49188288.60041102
53503,49187088.431748666
53504,49185888.10301705
53505,49184687.617478944
53506,49183486.97163435
53507,49182286.17070297
53508,49181085.206978604
53509,49179884.08343671
53510,49178682.80619263
53511,49177481.36516267
53512,49176279.769171
53513,49175078.013817124
53514,49173876.09981953
53515,49172674.02795963
53516,49171471.79864463
53517,49170269.41077445
53518,49169066.86594043
53519,49167864.16290739
53520,49166661.30140926
53521,49165458.284834474
53522,49164255.107278034
53523,49163051.77556646
53524,49161848.28467465
53525,49160644.636856645
53526,49159440.83313091
53527,49158236.87149852
53528,49157032.75473468
53529,49155828.4791608
53530,49154624.04916403
53531,49153419.45884017
53532,49152214.71314604
53533,49151009.81494076
53534,49149804.759220764
53535,49148599.54478532
53536,49147394.174096026
53537,49146188.6487982
53538,49144982.97076762
53539,49143777.131518304
53540,49142571.13837116
53541,49141364.99249462
53542,49140158.68760203
53543,49138952.226791166
53544,49137745.61669211
53545,49136538.84580299
53546,49135331.91923222
53547,49134124.84267814
53548,49132917.60588336
53549,49131710.216679625
53550,49130502.67305728
53551,49129294.977451965
53552,49128087.12462065
53553,49126879.11468665
53554,49125670.955293395
53555,49124462.635445
53556,49123254.16867856
53557,49122045.54514669
53558,49120836.767389745
53559,49119627.834240966
53560,49118418.74928813
53561,49117209.50893735
53562,49116000.11708371
53563,49114790.5708674
53564,49113580.87144907
53565,49112371.02020797
53566,49111161.01355142
53567,49109950.85625064
53568,49108740.54308152
53569,49107530.08045322
53570,49106319.462166995
53571,49105108.690877646
53572,49103897.76860767
53573,49102686.692602925
53574,49101475.466251396
53575,49100264.08549259
53576,49099052.556022294
53577,49097840.8704953
53578,49096629.035368815
53579,49095417.04503072
53580,49094204.907565504
53581,49092992.61630062
53582,49091780.174849086
53583,49090567.58021998
53584,49089354.83509579
53585,49088141.937608026
53586,49086928.89028899
53587,49085715.69027291
53588,49084502.33827248
53589,49083288.83845009
53590,49082075.18658732
53591,49080861.38073783
53592,49079647.42975182
53593,49078433.32906108
53594,49077219.072578646
53595,49076004.668261796
53596,49074790.11148002
53597,49073575.40747686
53598,49072360.55444588
53599,49071145.5487032
53600,49069930.39343159
53601,49068715.09147376
53602,49067499.635471694
53603,49066284.031326145
53604,49065068.27967679
53605,49063852.37648282
53606,49062636.32489237
53607,49061420.12490497
53608,49060203.77452381
53609,49058987.27474278
53610,49057770.62934881
53611,49056553.83327216
53612,49055336.88710427
53613,49054119.794353545
53614,49052902.551270016
53615,49051685.15925877
53616,49050467.62331639
53617,49049249.935390726
53618,49048032.100626685
53619,49046814.117368184
53620,49045595.98640202
53621,49044377.7080422
53622,49043159.28168259
53623,49041940.70880795
53624,49040721.986504674
53625,49039503.1183614
53626,49038284.1025037
53627,49037064.93598768
53628,49035845.62836598
53629,49034626.17021765
53630,49033406.565610416
53631,49032186.81484845
53632,49030966.91560753
53633,49029746.87186212
53634,49028526.67905996
53635,49027306.341132045
53636,49026085.859167464
53637,49024865.22842052
53638,49023644.452201
53639,49022423.52907708
53640,49021202.46199082
53641,49019981.24704948
53642,49018759.887553856
53643,49017538.381583974
53644,49016316.730181664
53645,49015094.93422973
53646,49013872.993712515
53647,49012650.904878505
53648,49011428.6728809
53649,49010206.29532719
53650,49008983.772565804
53651,49007761.10716583
53652,49006538.29252881
53653,49005315.337076396
53654,49004092.235004105
53655,49002868.99061241
53656,49001645.59998556
53657,49000422.066546485
53658,48999198.387414575
53659,48997974.56397781
53660,48996750.59785433
53661,48995526.48725425
53662,48994302.23100643
53663,48993077.83448156
53664,48991853.292181395
53665,48990628.607032694
53666,48989403.77737533
53667,48988178.804845944
53668,48986953.68935831
53669,48985728.42854852
53670,48984503.029780924
53671,48983277.48852933
53672,48982051.799675785
53673,48980825.96919578
53674,48979599.99722012
53675,48978373.88083576
53676,48977147.623092696
53677,48975921.22323245
53678,48974694.68057115
53679,48973467.99628148
53680,48972241.170488134
53681,48971014.202174984
53682,48969787.09317828
53683,48968559.84085042
53684,48967332.44464321
53685,48966104.91056373
53686,48964877.23300551
53687,48963649.41337648
53688,48962421.45666354
53689,48961193.35656002
53690,48959965.11437271
53691,48958736.73206613
53692,48957508.207728714
53693,48956279.54267344
53694,48955050.73827258
53695,48953821.794344544
53696,48952592.70718146
53697,48951363.47870921
53698,48950134.11347233
53699,48948904.607514605
53700,48947674.959784165
53701,48946445.173072174
53702,48945215.243137054
53703,48943985.177766375
53704,48942754.97057922
53705,48941524.6251784
53706,48940294.1378564
53707,48939063.512524314
53708,48937832.74873356
53709,48936601.84391811
53710,48935370.80205714
53711,48934139.61766815
53712,48932908.29984146
53713,48931676.835984886
53714,48930445.24102223
53715,48929213.502224185
53716,48927981.62548045
53717,48926749.61275922
53718,48925517.46076556
53719,48924285.17005777
53720,48923052.74087009
53721,48921820.17165367
53722,48920587.46750464
53723,48919354.62242644
53724,48918121.643402554
53725,48916888.525091335
53726,48915655.26821633
53727,48914421.873099394
53728,48913188.34328731
53729,48911954.67743411
53730,48910720.8703601
53731,48909486.92682043
53732,48908252.84747276
53733,48907018.63143129
53734,48905784.276097216
53735,48904549.786031015
53736,48903315.160053045
53737,48902080.39701515
53738,48900845.49963098
53739,48899610.461888604
53740,48898375.28904946
53741,48897139.98123587
53742,48895904.53472908
53743,48894668.95548314
53744,48893433.23942782
53745,48892197.387197666
53746,48890961.40184452
53747,48889725.278108925
53748,48888489.01762115
53749,48887252.6235888
53750,48886016.09435833
53751,48884779.431028396
53752,48883542.63194493
53753,48882305.697719954
53754,48881068.62697483
53755,48879831.423719786
53756,48878594.08507173
53757,48877356.61297155
53758,48876119.00471047
53759,48874881.26027433
53760,48873643.383307904
53761,48872405.37436851
53762,48871167.229032986
53763,48869928.949899815
53764,48868690.53739185
53765,48867451.992209256
53766,48866213.3098985
53767,48864974.499411
53768,48863735.54949072
53769,48862496.47006847
53770,48861257.25467375
53771,48860017.90650756
53772,48858778.42743615
53773,48857538.812854595
53774,48856299.067849524
53775,48855059.188435346
53776,48853819.17578537
53777,48852579.03200924
53778,48851338.755729824
53779,48850098.34496666
53780,48848857.80238308
53781,48847617.12929307
53782,48846376.32295964
53783,48845135.383798614
53784,48843894.315059915
53785,48842653.11112434
53786,48841411.778880775
53787,48840170.31103559
53788,48838928.71526374
53789,48837686.98543914
53790,48836445.1257926
53791,48835203.13207955
53792,48833961.013669714
53793,48832718.75812371
53794,48831476.374136895
53795,48830233.85616035
53796,48828991.21132908
53797,48827748.433896095
53798,48826505.52533144
53799,48825262.4894804
53800,48824019.31973696
53801,48822776.02061863
53802,48821532.59216313
53803,48820289.03142976
53804,48819045.343169235
53805,48817801.523896076
53806,48816557.574909426
53807,48815313.49704038
53808,48814069.287191756
53809,48812824.949151754
53810,48811580.48169219
53811,48810335.884931915
53812,48809091.160724394
53813,48807846.30443598
53814,48806601.32136128
53815,48805356.20748549
53816,48804110.96435746
53817,48802865.5929798
53818,48801620.09362498
53819,48800374.466208406
53820,48799128.71167018
53821,48797882.82712839
53822,48796636.81282053
53823,48795390.672374286
53824,48794144.401529
53825,48792898.00410645
53826,48791651.48026601
53827,48790404.82663007
53828,48789158.04647042
53829,48787911.13746278
53830,48786664.10120922
53831,48785416.93813727
53832,48784169.64812084
53833,48782922.23030353
53834,48781674.68426787
53835,48780427.013197295
53836,48779179.21299767
53837,48777931.28854532
53838,48776683.23562375
53839,48775435.054519504
53840,48774186.75426398
53841,48772938.31933492
53842,48771689.760880716
53843,48770441.078918196
53844,48769192.26545191
53845,48767943.3284535
53846,48766694.267029665
53847,48765445.07821638
53848,48764195.763791315
53849,48762946.3235726
53850,48761696.758797415
53851,48760447.069652304
53852,48759197.25006561
53853,48757947.31090484
53854,48756697.244810306
53855,48755447.05078417
53856,48754196.73493869
53857,48752946.29270736
53858,48751695.724589065
53859,48750445.03631523
53860,48749194.21932514
53861,48747943.27846522
53862,48746692.21276035
53863,48745441.02579514
53864,48744189.712211855
53865,48742938.27534118
53866,48741686.71395331
53867,48740435.027331404
53868,48739183.21565204
53869,48737931.28616694
53870,48736679.22967915
53871,48735427.05007094
53872,48734174.74804404
53873,48732922.31976153
53874,48731669.770548865
53875,48730417.097138196
53876,48729164.29923675
53877,48727911.38024434
53878,48726658.34075038
53879,48725405.174025804
53880,48724151.88792595
53881,48722898.47662423
53882,48721644.946022734
53883,48720391.29078537
53884,48719137.51323216
53885,48717883.61501585
53886,48716629.59335232
53887,48715375.44913457
53888,48714121.18475075
53889,48712866.798504405
53890,48711612.29035086
53891,48710357.65893052
53892,48709102.909166776
53893,48707848.03355871
53894,48706593.03836794
53895,48705337.92293076
53896,48704082.687641166
53897,48702827.32996154
