epoch,phase
53491,30172126.393353514
53492,30170927.982798528
53493,30169729.41157397
53494,30168530.68248261
53495,30167331.792127054
53496,30166132.74163473
53497,30164933.53029721
53498,30163734.158791162
53499,30162534.628329124
53500,30161334.937802367
53501,30160135.092227124
53502,30158935.083100468
53503,30157734.914933287
53504,30156534.586696845
53505,30155334.10165392
53506,30154133.456304517
53507,30152932.655868296
53508,30151731.692639142
53509,30150530.569592435
53510,30149329.292843543
53511,30148127.85230879
53512,30146926.256812334
53513,30145724.501953665
53514,30144522.588451285
53515,30143320.5170866
53516,30142118.288266815
53517,30140915.90089186
53518,30139713.356553063
53519,30138510.65401526
53520,30137307.79301237
53521,30136104.776932813
53522,30134901.5998716
53523,30133698.26865528
53524,30132494.77825873
53525,30131291.130935974
53526,30130087.32770549
53527,30128883.36656836
53528,30127679.250299793
53529,30126474.975221183
53530,30125270.54571968
53531,30124065.955891106
53532,30122861.21069224
53533,30121656.312982243
53534,30120451.257757533
53535,30119246.043817382
53536,30118040.673623372
53537,30116835.14882085
53538,30115629.47128557
53539,30114423.63253157
53540,30113217.639879733
53541,30112011.494498502
53542,30110805.19010122
53543,30109598.729785692
53544,30108392.120181948
53545,30107185.349788155
53546,30105978.423712716
53547,30104771.347653966
53548,30103564.111354522
53549,30102356.722646132
53550,30101149.179519128
53551,30099941.48440917
53552,30098733.632073216
53553,30097525.62263458
53554,30096317.463736676
53555,30095109.144383643
53556,30093900.67811258
53557,30092692.05507608
53558,30091483.277814504
53559,30090274.34516111
53560,30089065.260703642
53561,30087856.02084826
53562,30086646.629490025
53563,30085437.0837691
53564,30084227.384846162
53565,30083017.534100477
53566,30081807.52793933
53567,30080597.371133957
53568,30079387.05846026
53569,30078176.59632737
53570,30076965.978536583
53571,30075755.207742646
53572,30074544.285968095
53573,30073333.210458796
53574,30072121.984602693
53575,30070910.60433934
53576,30069699.075364485
53577,30068487.390332922
53578,30067275.55570189
53579,30066063.56585926
53580,30064851.428889494
53581,30063639.138120096
53582,30062426.697164014
53583,30061214.103030376
53584,30060001.35840168
53585,30058788.46140939
53586,30057575.414585836
53587,30056362.215065245
53588,30055148.863560297
53589,30053935.364233404
53590,30052721.712866135
53591,30051507.907512154
53592,30050293.95702165
53593,30049079.856826417
53594,30047865.600839496
53595,30046651.197018165
53596,30045436.64073191
53597,30044221.93722426
53598,30043007.08468882
53599,30041792.079441674
53600,30040576.9246656
53601,30039361.62320331
53602,30038146.1676968
53603,30036930.564046796
53604,30035714.812892996
53605,30034498.91019458
53606,30033282.859099694
53607,30032066.659607843
53608,30030850.30972226
53609,30029633.8104368
53610,30028417.165538408
53611,30027200.369957335
53612,30025983.42428504
53613,30024766.332029894
53614,30023549.089441963
53615,30022331.697926305
53616,30021114.162479527
53617,30019896.475049466
53618,30018678.64078103
53619,30017460.658018142
53620,30016242.527547598
53621,30015024.249683388
53622,30013805.823819403
53623,30012587.251440395
53624,30011368.529632743
53625,30010149.661985103
53626,30008930.64662305
53627,30007711.480602674
53628,30006492.173476614
53629,30005272.715823933
53630,30004053.111712355
53631,30002833.36144605
53632,30001613.46270078
53633,30000393.419451054
53634,29999173.227144554
53635,29997952.88971231
53636,29996732.408243414
53637,29995511.77799216
53638,29994291.00226832
53639,29993070.079640094
53640,29991849.01304953
53641,29990627.79860388
53642,29989406.439603966
53643,29988184.934129786
53644,29986963.283223182
53645,29985741.487766966
53646,29984519.54774547
53647,29983297.459407184
53648,29982075.227905303
53649,29980852.85084732
53650,29979630.32858168
53651,29978407.66367743
53652,29977184.849536154
53653,29975961.894579493
53654,29974738.79300294
53655,29973515.549107004
53656,29972292.158975918
53657,29971068.626032602
53658,29969844.94739645
53659,29968621.12445546
53660,29967397.158827756
53661,29966173.04872345
53662,29964948.792971414
53663,29963724.39694233
53664,29962499.855137963
53665,29961275.170485057
53666,29960050.34132349
53667,29958825.36928989
53668,29957600.254298076
53669,29956374.9939841
53670,29955149.59571231
53671,29953924.054956533
53672,29952698.36659881
53673,29951472.536614638
53674,29950246.565134794
53675,29949020.449246265
53676,29947794.191999055
53677,29946567.792634647
53678,29945341.250469193
53679,29944114.56667538
53680,29942887.741377875
53681,29941660.773560587
53682,29940433.66505976
53683,29939206.413227767
53684,29937979.01751642
53685,29936751.483932808
53686,29935523.80687047
53687,29934295.98773732
53688,29933068.03152028
53689,29931839.93191264
53690,29930611.690221235
53691,29929383.308410544
53692,29928154.78456904
53693,29926926.12000968
53694,29925697.316104736
53695,29924468.372672603
53696,29923239.286005426
53697,29922010.05802912
53698,29920780.69328815
53699,29919551.18782637
53700,29918321.54059187
