time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
0,-13506135.720339352,15217404.425377782,17029358.58709326,[[39.97352138]],[[131.5905068]],[[20163371.72193273]],-7.661711424589e-05,100,0.4967141530112327,False,27898.587577847713
1,-13508295.0660239,15217725.532692522,17027381.149727426,[[39.96792563]],[[131.59445403]],[[20163384.01437857]],-7.661711742912146e-05,100,-0.13826430117118466,False,27898.713575030328
2,-13510454.148447746,15218046.711141665,17025403.348998822,[[39.96232932]],[[131.59839993]],[[20163396.3072666]],-7.661712061235291e-05,100,0.6476885381006925,False,27898.83949751943
3,-13512612.967566436,15218367.960682195,17023425.184950255,[[39.95673245]],[[131.60234449]],[[20163408.60059674]],-7.661712379558437e-05,100,1.5230298564080254,False,27898.965345319622
4,-13514771.523335438,15218689.28127108,17021446.657624505,[[39.95113502]],[[131.60628772]],[[20163420.8943688]],-7.661712697881582e-05,100,-0.23415337472333597,False,27899.09111843541
5,-13516929.815710312,15219010.672865275,17019467.767064393,[[39.94553702]],[[131.61022961]],[[20163433.18858268]],-7.661713016204728e-05,100,-0.23413695694918055,False,27899.216816871394
6,-13519087.844646567,15219332.13542175,17017488.513312742,[[39.93993846]],[[131.61417017]],[[20163445.48323824]],-7.661713334527874e-05,100,1.5792128155073915,False,27899.342440632114
7,-13521245.610099776,15219653.668897448,17015508.89641238,[[39.93433934]],[[131.61810939]],[[20163457.77833535]],-7.661713652851019e-05,100,0.7674347291529088,False,27899.46798972216
8,-13523403.112025471,15219975.273249311,17013528.91640614,[[39.92873965]],[[131.62204728]],[[20163470.07387388]],-7.661713971174165e-05,100,-0.4694743859349521,False,27899.593464146088
9,-13525560.35037925,15220296.948434269,17011548.57333685,[[39.92313941]],[[131.62598383]],[[20163482.36985371]],-7.66171428949731e-05,100,0.5425600435859647,False,27899.718863908478
10,-13527717.325116659,15220618.694409251,17009567.867247373,[[39.9175386]],[[131.62991905]],[[20163494.66627468]],-7.661714607820456e-05,100,-0.46341769281246226,False,27899.8441890139
11,-13529874.036193317,15220940.511131175,17007586.79818056,[[39.91193723]],[[131.63385294]],[[20163506.96313669]],-7.661714926143602e-05,100,-0.46572975357025687,False,27899.969439466935
12,-13532030.4835648,15221262.398556957,17005605.366179284,[[39.9063353]],[[131.63778549]],[[20163519.2604396]],-7.661715244466747e-05,100,0.24196227156603412,False,27900.094615272166
13,-13534186.667186735,15221584.356643487,17003623.571286406,[[39.90073282]],[[131.64171672]],[[20163531.55818327]],-7.661715562789893e-05,100,-1.913280244657798,False,27900.21971643418
14,-13536342.587014738,15221906.385347672,17001641.413544808,[[39.89512977]],[[131.6456466]],[[20163543.85636757]],-7.661715881113039e-05,100,-1.7249178325130328,False,27900.34474295755
15,-13538498.24300445,15222228.484626397,16999658.892997373,[[39.88952616]],[[131.64957516]],[[20163556.15499238]],-7.661716199436184e-05,100,-0.5622875292409727,False,27900.469694846877
16,-13540653.63511149,15222550.654436538,16997676.009687006,[[39.88392199]],[[131.65350239]],[[20163568.45405755]],-7.66171651775933e-05,100,-1.0128311203344238,False,27900.594572106736
17,-13542808.763291528,15222872.894734975,16995692.763656616,[[39.87831726]],[[131.65742828]],[[20163580.75356298]],-7.661716836082475e-05,100,0.3142473325952739,False,27900.719374741748
18,-13544963.627500234,15223195.205478568,16993709.154949088,[[39.87271197]],[[131.66135284]],[[20163593.05350851]],-7.661717154405621e-05,100,-0.9080240755212109,False,27900.844102756484
19,-13547118.227693282,15223517.586624179,16991725.183607355,[[39.86710612]],[[131.66527607]],[[20163605.35389402]],-7.661717472728767e-05,100,-1.4123037013352915,False,27900.96875615556
20,-13549272.563826347,15223840.038128654,16989740.849674337,[[39.86149971]],[[131.66919798]],[[20163617.65471938]],-7.661717791051912e-05,100,1.465648768921554,False,27901.09333494356
21,-13551426.635855123,15224162.559948837,16987756.15319298,[[39.85589275]],[[131.67311855]],[[20163629.95598445]],-7.661718109375058e-05,100,-0.22577630048653566,False,27901.217839125104
22,-13553580.443735333,15224485.152041571,16985771.09420621,[[39.85028522]],[[131.67703779]],[[20163642.25768912]],-7.661718427698204e-05,100,0.06752820468792384,False,27901.3422687048
23,-13555733.98742269,15224807.814363673,16983785.672756985,[[39.84467714]],[[131.6809557]],[[20163654.55983325]],-7.661718746021349e-05,100,-1.4247481862134568,False,27901.466623687247
24,-13557887.266872913,15225130.546871966,16981799.888888247,[[39.83906849]],[[131.68487229]],[[20163666.86241669]],-7.661719064344495e-05,100,-0.5443827245251827,False,27901.59090407706
25,-13560040.282041755,15225453.349523265,16979813.74264298,[[39.83345929]],[[131.68878755]],[[20163679.16543934]],-7.66171938266764e-05,100,0.11092258970986608,False,27901.715109878864
26,-13562193.032884944,15225776.222274374,16977827.23406414,[[39.82784953]],[[131.69270147]],[[20163691.46890104]],-7.661719700990786e-05,100,-1.1509935774223028,False,27901.839241097256
27,-13564345.519358264,15226099.165082088,16975840.363194704,[[39.82223922]],[[131.69661407]],[[20163703.77280167]],-7.661720019313932e-05,100,0.37569801834567196,False,27901.963297736867
28,-13566497.74141747,15226422.177903194,16973853.130077668,[[39.81662834]],[[131.70052535]],[[20163716.0771411]],-7.661720337637077e-05,100,-0.600638689918805,False,27902.087279802327
29,-13568649.699018355,15226745.260694487,16971865.53475602,[[39.81101691]],[[131.70443529]],[[20163728.38191921]],-7.661720655960223e-05,100,-0.2916937497932768,False,27902.21118729825
