time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
53491,19371591.93407311,-13231519.013905708,-12659002.137073897,[[-28.39055932]],[[-34.33453167]],[[20283429.53101086]],-7.678738847971386e-05,100,-1.9004188940614333,True,25889.100161058497
53492,19370889.8508998,-13230080.108634993,-12661590.136864081,[[-28.39688038]],[[-34.33259673]],[[20283436.2563972]],-7.678739166294532e-05,100,1.3272768140758946,True,25888.758745166237
53493,19370187.673025366,-13228640.892912902,-12664177.870210864,[[-28.40320117]],[[-34.33066105]],[[20283442.97994123]],-7.678739484617677e-05,100,-1.4019103394699712,True,25888.41730221489
53494,19369485.400506362,-13227201.366748394,-12666765.337059941,[[-28.40952168]],[[-34.32872466]],[[20283449.70164269]],-7.678739802940823e-05,100,0.03875223449329463,True,25888.075832200397
53495,19368783.03339933,-13225761.530150462,-12669352.537356995,[[-28.41584191]],[[-34.32678753]],[[20283456.42150131]],-7.678740121263969e-05,100,-1.4289805226771468,True,25887.734335118705
53496,19368080.571760807,-13224321.383128138,-12671939.471047679,[[-28.42216187]],[[-34.32484968]],[[20283463.13951682]],-7.678740439587114e-05,100,0.6524634765176937,True,25887.392810965775
53497,19367378.01564734,-13222880.92569036,-12674526.138077794,[[-28.42848155]],[[-34.32291111]],[[20283469.85568897]],-7.67874075791026e-05,100,1.4689497829649625,True,25887.051259737553
53498,19366675.365115467,-13221440.15784622,-12677112.538392978,[[-28.43480095]],[[-34.3209718]],[[20283476.57001749]],-7.678741076233405e-05,100,-1.347327774857995,True,25886.709681430017
53499,19365972.620221723,-13219999.079604704,-12679698.671938978,[[-28.44112007]],[[-34.31903177]],[[20283483.28250211]],-7.678741394556551e-05,100,-0.042229490492193746,True,25886.368076039096
53500,19365269.78102266,-13218557.690974925,-12682284.53866147,[[-28.44743891]],[[-34.31709102]],[[20283489.99314259]],-7.678741712879697e-05,100,-1.6790793390013534,True,25886.02644356077
53501,19364566.847574826,-13217115.991965838,-12684870.138506258,[[-28.45375748]],[[-34.31514953]],[[20283496.70193863]],-7.678742031202842e-05,100,-0.30015697831470456,True,25885.684783990975
53502,19363863.819934737,-13215673.982586665,-12687455.471418977,[[-28.46007577]],[[-34.31320732]],[[20283503.40888999]],-7.678742349525988e-05,100,0.3771177406366011,True,25885.343097325713
53503,19363160.698158953,-13214231.66284636,-12690040.537345467,[[-28.46639378]],[[-34.31126438]],[[20283510.1139964]],-7.678742667849133e-05,100,-0.3204351004663466,True,25885.001383560913
53504,19362457.482304014,-13212789.032754088,-12692625.336231424,[[-28.47271151]],[[-34.30932072]],[[20283516.8172576]],-7.678742986172279e-05,100,-1.1207735656045943,True,25884.659642692553
53505,19361754.17242647,-13211346.092318935,-12695209.868022596,[[-28.47902897]],[[-34.30737632]],[[20283523.51867332]],-7.678743304495425e-05,100,0.03349564969608063,True,25884.317874716602
53506,19361050.768582836,-13209902.841550091,-12697794.132664718,[[-28.48534614]],[[-34.3054312]],[[20283530.21824329]],-7.67874362281857e-05,100,1.2062439090881196,True,25883.97607962903
53507,19360347.270829678,-13208459.28045667,-12700378.130103556,[[-28.49166304]],[[-34.30348534]],[[20283536.91596727]],-7.678743941141716e-05,100,-2.260735751870855,True,25883.634257425816
